id,title,topic,module,body,managerial_phrasing,common_mistake,status,updated
overfitting,Overfitting: memorization posing as skill,Analyze: prediction,analyze-prediction,"- A model complex enough to memorize training data scores perfectly there and worse on new data. The tree makes it visible: unconstrained, train accuracy hits 1.000 while test lags far behind; capped at depth 3, the gap closes.
- The train-test gap is the diagnostic: large gap = memorization; small gap = learned structure.
- Complexity is a dial, not a virtue — depth is the one tuning knob in scope (max_depth).",The model aced the homework it studied from; the test set tells us whether it learned anything transferable.,"Chasing training performance. Perfect training scores are a warning sign, not an achievement.",core,8/23/26
decision-tree,The decision tree: stacked if-statements,Analyze: prediction,analyze-prediction,"- A tree is s6's if, stacked: a flowchart of threshold questions ending in a default probability. Depth 3 reads on one slide.
- Its virtues are legibility (you can trace any loan's path) and honesty about overfitting (unconstrained depth memorizes visibly).
- Its cost: one tree is unstable — small data changes redraw the flowchart.",The tree is a readable lending policy: you can follow any application down the branches and see exactly why it scored as it did.,Growing the tree deep 'for accuracy.' Depth buys memorization; the readable shallow tree is the honest one.,core,8/23/26
random-forest,Random forest: a forest outvotes a tree,Analyze: prediction,analyze-prediction,"- Many trees, each trained on a random slice of data and features, voting. The vote averages away single-tree instability — accuracy rises.
- The price is legibility: no flowchart exists; you get feature importances, not a path.
- This sets the course's standing question: the best model is the one you can't read — when do you accept that trade?
- Third of three in-scope models (logistic → tree → forest); switching models is one changed line, which is itself the lesson.",The forest predicts better and explains less — whether that trade is acceptable depends on who must defend the decision.,Treating the forest's edge as free. The accuracy gain is real; so is losing the ability to trace why a loan was flagged.,core,8/23/26
recipe-sklearn,🔧 Recipe: the sklearn pattern,Recipes,analyze-prediction,"- The unchanging four lines: train_test_split(...) → model = Constructor() → model.fit(X_train, y_train) → model.predict(X_test).
- Swapping models changes only the constructor line — LogisticRegression() to DecisionTreeClassifier() to RandomForestClassifier().
- Recipe-tier forever: internals are never course material. Understand-tier is the discipline around the recipe — what may touch the test set, and what the outputs mean.","The machinery is four standard lines; our value-add is everything around them — the split discipline, the metric choice, the reading of results.",Studying fit()'s internals while misusing the test set. The recipe is safe; the workflow around it is where analyses die.,recipe,8/23/26
model-comparison,"Comparing models: the s5 loop, full circle",Analyze: prediction,analyze-prediction,"- for model in models: fit, evaluate, append a dict of results — pd.DataFrame at the end builds the comparison table. The construct you learned fetching API pages now benchmarks classifiers.
- Compare on identical splits and identical metrics, with the defaulter-recall column beside accuracy — accuracy alone ranks lending models wrongly.
- Model selection happens on training/validation evidence; the test set measures the chosen model once.","One table, same data, same metrics, every candidate — and the ranking read on the metric that prices our expensive mistake.","Crowning the winner by test-set performance across many tries — that's shopping, and the winner's number is inflated by luck.",core,8/23/26
confusion-matrix-costs,"The confusion matrix, dollarized",Analyze: prediction,analyze-prediction,"- Four cells: caught defaulters (TP) · missed defaulters (FN) · false alarms (FP) · correctly passed loans (TN). Every classifier metric is arithmetic on these four.
- The reveal: a high-accuracy model can hide a catastrophic FN count — accuracy near 87% while half the defaulters sail through.
- Dollarizing converts cells to money: FN × exposure vs FP × lost fee. The matrix becomes a P&L, and 'best model' becomes a finance question.
- Recall (share of defaulters caught) and precision (share of flags that were right) are the two readings that matter here.",Here's the model's year in money: what the missed defaulters cost us versus what the false alarms cost us — that comparison picks the model.,"Reporting accuracy and stopping. On imbalanced, asymmetric-cost data, accuracy is the one number guaranteed to mislead.",core,8/23/26
threshold-policy,The threshold is a lending policy,Analyze: prediction,analyze-prediction,"- Converting probability to decision requires a cutoff — and every cutoff is a different portfolio: lower it, catch more defaulters, refuse more good loans; raise it, the reverse.
- 0.5 is a default, not a decision. On imbalanced data it's usually the wrong one.
- The honest instrument is the sweep: recompute the dollarized confusion matrix across cutoffs and choose where the money says to stand. Model behavior can change qualitatively across the sweep — a failure visible at one cutoff can dissolve at another.","We chose our cutoff by pricing the trade-off at each candidate level — the threshold is a business decision we can defend, not a software default.",Threshold naïveté: shipping 0.5 unexamined. The cutoff quietly encodes your cost judgment whether or not you made one.,core,8/23/26
feature-importance,Reading feature importances for business,Analyze: prediction,analyze-prediction,"- The forest ranks which inputs its votes leaned on: in the loan book, leverage and capacity measures (LTV, DTI, property value, income) lead — a rankable sanity check against lending intuition.
- Importance is not effect size or direction: it says 'the model used this,' not 'this raises risk by X.'
- An unexplainable top feature is a finding, not a footnote — a dominant feature nobody can interpret (our credit-type quirk) belongs in the memo's limits section until it's understood.","The model leans on the variables an underwriter would — with one exception we haven't explained, which we flag as an open item rather than hide.",Narrating importances as coefficients ('LTV adds X points of risk'). Importance ranks usage; it prices nothing.,core,8/23/26
dz-leakage,Disease: leakage — the two-faced disease,Train/test discipline,analyze-prediction,"- The model sees information unavailable at decision time. Face one (framing, s15): the question itself smuggles the future — features described post-outcome. Face two (mechanical, s20): a column in the file encodes the outcome — our book's interest-rate field is blank for 99.5% of defaulters and 0% of payers; the missingness pattern is the label.
- Signature symptom: performance too good to be true — the '100% accurate' model. Removing the leak returns it to earth.
- Headline trap of Train/test and exam 2's signature flaw. Cure: for every feature ask 'would we know this at decision time?' — and treat implausibly good performance as an accusation, not a triumph.",Every input passed the question: would the desk have this number on the day it decides? Anything downstream of the outcome is out.,Celebrating implausible accuracy. Near-perfect performance on a hard problem means the model found the answer key in the features.,core,8/23/26
dz-test-shopping,Disease: test-set shopping,Model comparison,analyze-prediction,"- Many models or settings are compared on the test set and the best is reported as expected performance — the test set has become part of training, and the winner's score is inflated by selection luck.
- One honest use per test set: select on training evidence, measure the chosen model once.
- Headline trap of Model comparison. Cure: count how many times the test set was consulted; if more than once for the reported number, the number is shopped.","This performance figure comes from a single, final measurement — not from picking the luckiest of many attempts.",Believing repeated test-set checks are diligence. Each peek converts the test set a little more into training data.,core,8/23/26
dz-accuracy-imbalance,Disease: accuracy on imbalance,Model evaluation,analyze-prediction,"- With a ~25% default rate, 'approve everyone' scores ~75% accuracy while catching zero defaulters — accuracy rewards siding with the majority class.
- The narration failure: accuracy headlined while the precision/recall lines sit printed and unread on the same page.
- Headline trap of Model evaluation. Cure: name the baseline (majority-class accuracy) first; report recall on the class that costs money; let the dollarized matrix arbitrate.","Against a do-nothing baseline of 75%, what does the model add — and what share of actual defaulters does it catch?","Quoting accuracy without its baseline. On imbalanced data, a big accuracy number is the cheapest trick in the deck.",core,8/23/26
dz-segment-failure,Disease: segment failure,Model evaluation,analyze-prediction,"- Overall performance is fine; a by-segment breakdown shows the model failing exactly where it matters — weakest recall on the loan type that defaults most.
- Averages absolve: the aggregate metric launders a localized failure that a one-line groupby on the errors would expose.
- Secondary trap of Model evaluation (headline: accuracy on imbalance). Cure: break every headline metric by the business's own segments before signing; segment behavior can shift with the threshold, so check segments across the cutoff sweep, not at one cutoff.","Overall the model performs at X — and here is the same metric for each segment, because a portfolio fails by segment, not on average.",Signing the aggregate. A model 'fine on average' can be systematically wrong for the riskiest slice of the book — the slice the desk exists for.,core,8/23/26
prediction-not-intervention,Prediction ≠ intervention,Analyze: prediction,analyze-prediction,"- A default model predicts under the current process; it doesn't say what happens if you change the process. 'These loans would default' is not 'rejecting them saves their losses' — the counterfactual portfolio differs.
- Features predictive of default aren't levers: DTI predicts risk; forcing DTI down doesn't mechanically remove it.
- Secondary trap of Logistic regression (headline: threshold naïveté). Cure: memo language distinguishes forecasting under the status quo from claims about interventions.",The model forecasts outcomes under today's process; what changes if we act differently is a separate question it wasn't built to answer.,"Reading predictive features as control knobs. Prediction licenses triage, not causal claims about what changing a variable would do.",core,8/23/26
memo-structure,The answer memo: five sections,Answer,answer,"- §1 The question, as framed at Ask · §2 The answers, with each number's history (what it was naively, what survived) · §3 The checks that make the numbers trustworthy · §4 The limits — what the analysis cannot support · §5 What's next.
- Fragments accumulate on the Answer Ledger all cycle; the final session is selection and compression, not drafting.
- The memo addresses a stated decision-maker in business English — zero code, zero jargon; every claim traceable to a check.","One page: what you asked, what we found and how sure we are, how we verified it, what this doesn't tell you, and what we'd do next.","Drafting the memo at the end from memory. The ledger exists because memos assembled from accumulated, verified fragments beat memos written under deadline.",core,8/23/26
interval-honesty,Interval honesty in the memo,Answer,answer,"- Every signed number ships with its give-or-take, in dollars, in the sentence — not in a footnote.
- When the interval is wide enough to change the decision at one end, the memo says the decision isn't settled — that's a finding, not a failure.
- Prediction-scale version: performance quoted with its segment range, and the threshold's sensitivity stated.","Best estimate $X, give or take $Y; if $X−$Y would change your decision, treat this as unresolved.",Rounding uncertainty away for a cleaner memo. The crisp version reads better and is the more dishonest document.,core,8/23/26
dz-overclaiming,Disease: overclaiming,Answering,answer,"- The memo asserts more than the analysis licenses: associations as causes, point estimates as certainties, one dataset's window as the world, predictions as intervention effects.
- The final disease because it's where all upstream sins get laundered into confident prose — examined structurally in every sign-the-number exercise.
- Headline trap of Answering. Cure: §4 (limits) is mandatory and specific; every claim gets the test 'which check backs this sentence?'; unbacked sentences get weakened or cut.","Every sentence in this memo is either backed by a named check or explicitly labeled as judgment — and the limits section is real, not ritual.",Writing limits as boilerplate humility. Useful limits are specific enough to stop a particular misuse of your numbers.,core,8/23/26
defense-transfer,The defense: attack bank and transfer rule,Answer,answer,"- Final presentations run under the cold-call rule: any member, any question. The 15-question attack bank is the study guide — each question maps to a disease.
- The transfer rule: teams share the loan book but own their memos; defending means knowing your own numbers' history, not reciting generic answers.
- Dry runs at s24 are attacked by another team; what they expose becomes the s25 triage agenda. Being attacked early is the gift.",Anyone on the team can trace any headline number back through its checks — that's the standard the defense tests.,Prepping by polishing slides. The defense grades the numbers' provenance; a beautiful deck with untraceable figures fails on the first question.,core,8/23/26
models-out-of-scope,Out of scope: models we deliberately cut,Course frame,analyze-prediction,"Cut and stays cut: boosting/XGBoost · SVM · neural networks · hyperparameter tuning beyond max_depth.
- Logistic, tree, and forest span the trade-offs that matter (legible vs accurate); further models add leaderboard points, not judgment.
- If an agent proposes XGBoost, that's normal — the verification skills transfer unchanged; the audit questions (leakage, shopping, segments, threshold) are model-agnostic.",We audit any model with the same questions; the three we build are enough to learn every question.,"Equating fancier models with better analysis. Every disease in the taxonomy afflicts XGBoost identically — judgment, not architecture, was the bottleneck.",out-of-scope,8/23/26
